id_plant,id_plot,name,trait_type,trait_id_try,trait_id_gift,trait_value,unit,nomenclature
KBS_01_SOLSPE,KBS,Solidago speciosa,vegetative_height,3106,1.6.3,0.84,meter,https://wfoplantlist.org/taxon/wfo-0000032825-2025-06
KBS_02_SOLSPE,KBS,Solidago speciosa,vegetative_height,3106,1.6.3,0.58,meter,https://wfoplantlist.org/taxon/wfo-0000032825-2025-06
Lux_6_DESILL_01,Lux_6,Desmodium illinoense,vegetative_height,3106,1.6.3,0.66,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_6_DESILL_02,Lux_6,Desmodium illinoense,vegetative_height,3106,1.6.3,0.44,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_01,Lux_9,Desmodium illinoense,vegetative_height,3106,1.6.3,0.67,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_02,Lux_9,Desmodium illinoense,vegetative_height,3106,1.6.3,0.55,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_03,Lux_9,Desmodium illinoense,vegetative_height,3106,1.6.3,0.46,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_04,Lux_9,Desmodium illinoense,vegetative_height,3106,1.6.3,0.62,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_12_DESILL_01,Lux_12,Desmodium illinoense,vegetative_height,3106,1.6.3,0.62,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_12_DESILL_02,Lux_12,Desmodium illinoense,vegetative_height,3106,1.6.3,0.45,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_12_DESILL_03,Lux_12,Desmodium illinoense,vegetative_height,3106,1.6.3,0.47,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_17_DESILL_01,Lux_17,Desmodium illinoense,vegetative_height,3106,1.6.3,0.36,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_01,Lux_26,Desmodium illinoense,vegetative_height,3106,1.6.3,0.56,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_02,Lux_26,Desmodium illinoense,vegetative_height,3106,1.6.3,0.59,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_03,Lux_26,Desmodium illinoense,vegetative_height,3106,1.6.3,0.53,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_04,Lux_26,Desmodium illinoense,vegetative_height,3106,1.6.3,0.56,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_05,Lux_26,Desmodium illinoense,vegetative_height,3106,1.6.3,0.72,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_35_DESILL_01,Lux_35,Desmodium illinoense,vegetative_height,3106,1.6.3,0.7,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_35_DESILL_02,Lux_35,Desmodium illinoense,vegetative_height,3106,1.6.3,0.45,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
